UniProtKB/Swiss-Prot ID	Gene name	Gene stable ID
Q12469	SKM1	YOL113W
Q02803	OAZ1	YPL052W
P38795	QNS1	YHR074W
P32901	PTR2	YKR093W
P40965	MSH4	YFL003C
P38859	DNA2	YHR164C
Q06106	MRD1	YPR112C
P53076	VID30	YGL227W
Q04377	LCD1	YDR499W
Q08457	SLD7	YOR060C
P40080	VFA1	YER128W
Q06315	SKG3	YLR187W
P45976	FIP1	YJR093C
P36044	MNN4	YKL201C
Q08926	UIP4	YPL186C
P25619	HSP30	YCR021C
Q12387	MDM20	YOL076W
Q8TGL3		YOR186C-A
Q06523		YPR148C
Q3E776	RCF3	YBR255C-A
P53251	SLX9	YGR081C
P32525	ECM25	YJL201W
P53065	TAD1	YGL243W
P46998	FMP33	YJL161W
Q2V2P6		YGL194C-A
P24000	RPL24B	YGR148C
P89102	SEC5	YDR166C
P38985	SRP14	YDL092W
P36071		YKL123W
Q03161		YMR099C
P43613	ERJ5	YFR041C
P21651	REC107	YJR021C
P40206	JLP2	YMR132C
P43545	SNZ3	YFL059W
P53123	MRM2	YGL136C
Q12352		YDL041W
A0A023PXE5		YHL006W-A
P38196	FUI1	YBL042C
P28274	URA7	YBL039C
P43542	COS4	YFL062W
P53331	RNH70	YGR276C
P35994	PAU16	YKL224C
Q08992	HSP32	YPL280W
P23642	VAN1	YML115C
P40361		YJL070C
P40185	MMF1	YIL051C
Q06511	RRP15	YPR143W
P37261	FRM2	YCL026C-A
P36081		YKL077W
Q08976		YPL261C
P38316	ATG12	YBR217W
Q04279	SEG1	YMR086W
P38888	MNL1	YHR204W
Q01163	RSM23	YGL129C
Q3E755		YBR200W-A
Q08905	FRE3	YOR381W
P53864		YNL226W
P53960		YNL040W
P30952	MLS1	YNL117W
Q07844	RIX7	YLL034C
Q12164	POM33	YLL023C
P04912	HTA2	YBL003C
P0CE68	NFT1	YKR103W
Q07738		YDL241W
Q12690	RPL13A	YDL082W
Q99382	ENV10	YLR065C
Q00245	RHO3	YIL118W
P43604	ULI1	YFR026C
P41696	AZF1	YOR113W
P22943	HSP12	YFL014W
Q07830	GPI13	YLL031C
Q06698		YLR419W
P53952		YNL050C
Q03083		YPL034W
P53234		YGR053C
P53245		YGR069W
P48232	SNN1	YNL086W
A0A023PYG1		YHL002C-A
P35198	MTH1	YDR277C
Q05549	HRQ1	YDR291W
P29952	PMI40	YER003C
P53078	SDT1	YGL224C
Q04213	IOC4	YMR044W
P0C5P8		YLR149C-A
P53977		YNL017C
P53097		YGL193C
P53756	PDR18	YNR070W
P40492	FYV10	YIL097W
Q12256	TPO4	YOR273C
Q02959	HOS3	YPL116W
P53753	DSE4	YNR067C
P26321	RPL5	YPL131W
Q03361	JIP4	YDR475C
A0A023PZD5		YHL030W-A
P53192	GET1	YGL020C
P0CE69		YKR104W
P35056	PEX5	YDR244W
Q04183	TRS120	YDR407C
O13543		YLR294C
P02400	RPP2B	YDR382W
Q9ZZW2		Q0144
P48558	BXI1	YNL305C
P25575		YCL046W
P38085	TAT1	YBR069C
P32656	GCG1	YER163C
P32601	DSS4	YPR017C
P53105		YGL177W
Q06063	DUS4	YLR405W
P39938	RPS26A	YGL189C
Q03864		YDR102C
I2HB52		YBR056W-A
Q05015	FSH2	YMR222C
P47061	VPS53	YJL029C
P25610	PAU3	YCR104W
P23595	PPH22	YDL188C
P53272		YGR122W
P0CT04	PBI2	YNL015W
P36120	DBP7	YKR024C
P53197	CDH1	YGL003C
Q12754	RRP12	YPL012W
P39724	BOL3	YAL046C
P08536	MET3	YJR010W
P32387	MRP20	YDR405W
Q3E7Z1		YNL146C-A
P25560	RER1	YCL001W
Q8TGL5		YOR161W-A
P38858	SOL3	YHR163W
P38931	SSN2	YDR443C
P15732	UBC5	YDR059C
Q3E775		YJR151W-A
P53379	MKC7	YDR144C
Q12082		YDL157C
P02309	HHF1	YBR009C
P43538		YFL066C
Q12462	PEX11	YOL147C
Q8TGM0		YMR272W-A
Q99326		YOR338W
P38998	LYS1	YIR034C
P40003	VAB2	YEL005C
P40482	SEC24	YIL109C
P25386	USO1	YDL058W
Q07521	OPI6	YDL096C
P32787	MGM101	YJR144W
P0CY05		YLR157C-C
P0CY02		YLR157C-C
P0CY04		YLR157C-C
P0CY03		YLR157C-C
P42942		YGR210C
P38725	PAU13	YHL046C
Q02733	IRC15	YPL017C
P28006	GAC1	YOR178C
P39545	PAU7	YAR020C
A0A023PXL7		YHR056W-A
P32902	MRP4	YHL004W
P53944	MTQ1	YNL063W
P38064	MRPL16	YBL038W
O13557		YLR463C
P24870	CLB3	YDL155W
P21339	MSB1	YOR188W
Q03764	EKI1	YDR147W
P0CX85	RPL35A	YDL191W
P0CX84	RPL35A	YDL191W
P0C5L0		YBR056C-B
P48565	RIM21	YNL294C
P53738	TRM112	YNR046W
Q08300	CSS3	YOL159C
P35177	SPT7	YBR081C
P43556	RGD2	YFL047W
P05747	RPL29	YFR032C-A
P43624		YFR056C
Q04898		YMR321C
Q02100	SKO1	YNL167C
P32462	ERG24	YNL280C
P32641	RAD24	YER173W
P33753	TRM2	YKR056W
P40358	JEM1	YJL073W
Q99385	VCX1	YDL128W
Q2V2P5		YIL102C-A
Q01590	SED5	YLR026C
P46676	SUM1	YDR310C
Q06150	BOP2	YLR267W
P32600	TOR2	YKL203C
P32907	ATO2	YNR002C
P53249		YGR079W
P53615	NCE103	YNL036W
P12904	SNF4	YGL115W
P36022	DYN1	YKR054C
P46672	ARC1	YGL105W
P39980	SIT1	YEL065W
P47066		YJL022W
Q12255	NYV1	YLR093C
P53217		YGR026W
P47106		YJR038C
Q03102		YML131W
P53600	RET3	YPL010W
P53941	IMP4	YNL075W
Q08906	FIT2	YOR382W
P39985	POL5	YEL055C
P26263	PDC6	YGR087C
P0C0V8	RPS21A	YKR057W
Q08230		YOL071W
P40018	SMB1	YER029C
Q3E829	MHF2	YDL160C-A
Q12509	ARP6	YLR085C
P52960	PIP2	YOR363C
P53333	CWC22	YGR278W
P08566	ARO1	YDR127W
P53227	MTE1	YGR042W
Q06551	ERF2	YLR246W
P50277	BIO3	YNR058W
P25355	CTR86	YCR054C
Q03697	YMD8	YML038C
P25626	IMG1	YCR046C
P30605	ITR1	YDR497C
P53228	NQM1	YGR043C
P36066		YKL133C
Q92331	VPS5	YOR069W
P53106		YGL165C
P23287	CNA1	YLR433C
P41834	UFE1	YOR075W
P53264	CLD1	YGR110W
P53253	NNF2	YGR089W
P52917	VPS4	YPR173C
Q12307		YDL162C
P43558	OTU1	YFL044C
Q8TGN5		YIL105W-A
Q12143	NSL1	YPL233W
P32795	YME1	YPR024W
P38622	RCK1	YGL158W
P43594		YFR011C
P38213	DSF2	YBR007C
P32342	SRP21	YKL122C
Q03207		YML122C
Q8TGR9		YPL152W-A
Q01476	UBP2	YOR124C
P25640		YCR064C
P39966	PTC2	YER089C
P53323	BUD32	YGR262C
Q05955	ADY4	YLR227C
Q03954	SPC19	YDR201W
P32803	EMP24	YGL200C
P0CX25	RPL43B	YJR094W-A
P0CX26	RPL43B	YJR094W-A
P0C5Q9		YOR008W-B
P40505	SDS3	YIL084C
Q96VH2		YCL001W-B
P53133		YGL117W
P53099	TPN1	YGL186C
P53204	NMA2	YGR010W
Q07927		YLR012C
P38749	YAP3	YHL009C
Q12528		YLR111W
P54072		YLR152C
Q05933	ARC18	YLR370C
P23748	MIH1	YMR036C
P54837	ERV25	YML012W
Q92325	LAG2	YOL025W
Q08446	SGT1	YOR057W
P48606	RBL2	YOR265W
P46951	YPP1	YGR198W
P00360	TDH1	YJL052W
P53950	VAC7	YNL054W
P40343	VPS27	YNR006W
P38120	MRPS9	YBR146W
P53737		YNR042W
P53282		YGR137W
P38427	TSL1	YML100W
P01149	MF(ALPHA)1	YPL187W
P06104	RAD6	YGL058W
P50874	ORC5	YNL261W
P04456	RPL25	YOL127W
Q99188	RGS2	YOR107W
P53077	MTC3	YGL226W
P21147	OLE1	YGL055W
P40533	TED1	YIL039W
P31539	HSP104	YLL026W
P53101	STR3	YGL184C
Q03772	CWC15	YDR163W
P46943	GUF1	YLR289W
Q12342	LDB17	YDL146W
P33754	SEC66	YBR171W
P53190		YGL024W
P07257	QCR2	YPR191W
P25453	DMC1	YER179W
P43602	ROG3	YFR022W
P38841		YHR138C
P38202		YBL028C
P32775	GLC3	YEL011W
P20486	CKS1	YBR135W
Q08285	RRP40	YOL142W
P53114	NUT1	YGL151W
P31116	HOM6	YJR139C
P36169	SKG1	YKR100C
P25618	CWH43	YCR017C
Q8TGJ7		YLL066W-B
P16522	CDC23	YHR166C
P38146	YPT10	YBR264C
O94742	SEM1	YDR363W-A
Q07649		YDL221W
Q12066	NUR1	YDL089W
P38849	MTC6	YHR151C
P40563	AIM21	YIR003W
P32768	FLO1	YAR050W
Q08641	ABP140	YOR239W
Q12411	SPO21	YOL091W
P47185	HXT16	YJR158W
P30624	FAA1	YOR317W
P32324	EFT2	YDR385W
P38227	QDR3	YBR043C
Q04868	ELP6	YMR312W
P49018	GPI8	YDR331W
P53259	PCP1	YGR101W
Q03941	CAB5	YDR196C
P43619	BNA6	YFR047C
P46954	SIP4	YJL089W
P11927	KAR1	YNL188W
P34224		YBL059W
P36162	DAD2	YKR083C
P46963	CTK3	YML112W
P32864	MRS6	YOR370C
Q04599	MRPL1	YDR116C
P32356	NTH1	YDR001C
Q12500	AVL9	YLR114C
P25044	PTP1	YDL230W
P0C1V3		YAL016C-B
Q03770	SSY1	YDR160W
P32660	DNF1	YER166W
P05085	ARG81	YML099C
P25297	PHO84	YML123C
Q8TGT3		YJL077W-B
P47072		YJL016W
P40211		YMR141C
P26798	INO2	YDR123C
P38273	CCZ1	YBR131W
Q04909		YMR324C
P53906		YNL146W
P32266	MGM1	YOR211C
P38746	YLF2	YHL014C
A0A023PYK2		YPR170C
Q06678	MRPL35	YDR322W
P0C5P1		YJL127W-A
	HFA1	YMR207C
P13587	ENA1	YDR040C
P39525	CEM1	YER061C
P0CX47	RPS11A	YDR025W
P0CX48	RPS11A	YDR025W
P21826	DAL7	YIR031C
P41815	BAP3	YDR046C
Q05027	TAF9	YMR236W
O13566		YPR123C
Q07379		YDL057W
O13570		YPR142C
Q07788	COS7	YDL248W
P36030		YKL225W
P0CY11	HMRA1	YCR097W
A0A023PZ99		YDR008C
P43552		YFL051C
Q02776	TIM50	YPL063W
P40055	UTP7	YER082C
Q05790	CRR1	YLR213C
P32464	HYM1	YKL189W
P40073	SHO1	YER118C
P20459	SUI2	YJR007W
A0A023PXP7		YML034C-A
P10356		YER152C
P69850	DAD3	YBR233W-A
Q12111		YDR029W
Q12455	SPE4	YLR146C
P27636	CDC15	YAR019C
Q12188	REC8	YPR007C
P38711	RPS27B	YHR021C
P38884	AIM18	YHR198C
P53862		YNL228W
Q08562	ULS1	YOR191W
Q06201	GMC2	YLR445W
P24031	PHO3	YBR092C
P53869	MRX7	YNL211C
Q00764	TPS1	YBR126C
P32179	MET22	YOL064C
P53074		YGL230C
O13561		YLR169W
P25571		YCL041C
P47137		YJR096W
P53261	NOP7	YGR103W
P38236	MUM2	YBR057C
P53257	TPC1	YGR096W
P38250	IST2	YBR086C
O13531		YLR202C
P40510	SER33	YIL074C
Q03388	VPS72	YDR485C
Q01852	TIM44	YIL022W
P10080	SBP1	YHL034C
P53723		YNR021W
P43549	AQY3	YFL054C
P39549		YAR029W
P38294		YBR174C
P0CD98		YLL053C
P26793	RAD27	YKL113C
P0C0T4	RPS25B	YLR333C
Q08220	GSH2	YOL049W
Q06821		YPR084W
P53266	SHY1	YGR112W
P40066	GLE2	YER107C
P38830	NDT80	YHR124W
Q12380	ATG5	YPL149W
P40318	SSM4	YIL030C
Q03694	INP1	YMR204C
P39705	NUP60	YAR002W
P47059		YJL032W
P38149	DUG2	YBR281C
P47117	ARP3	YJR065C
P40164	PSY2	YNL201C
P37254	ABZ1	YNR033W
P50278	SOL1	YNR034W
P04161	ADE8	YDR408C
P23585	HXT2	YMR011W
Q08214	NTG2	YOL043C
Q12691	ENA5	YDR038C
Q12443	RTN2	YDL204W
P48015	GCV1	YDR019C
P38705	DIA4	YHR011W
P25087	ERG6	YML008C
P38695	HXT5	YHR096C
Q04439	MYO5	YMR109W
P12611	WHI2	YOR043W
Q08786		YOR331C
Q12020	SRL2	YLR082C
P17065	SEC2	YNL272C
P53854	CWC25	YNL245C
P52923	AIF1	YNR074C
P38165	RTG3	YBL103C
Q05776	UPS1	YLR193C
Q12224	RLM1	YPL089C
P25361		YCR043C
P38928	AXL2	YIL140W
P36037	DOA1	YKL213C
P23900	FPS1	YLL043W
P06782	SNF1	YDR477W
P47069	MPS3	YJL019W
P47128	EAF6	YJR082C
P40959	MVP1	YMR004W
P53920	NMA111	YNL123W
Q12444		YOR309C
P10823	GPA2	YER020W
Q12057	PIN2	YOR104W
P46987	RBH1	YJL181W
P37370	VRP1	YLR337C
P38872	PFS1	YHR185C
P0CX99		YLL066W-A
P0CY00		YLL066W-A
P0CY01		YLL066W-A
P40395	RIC1	YLR039C
P38907	CHL4	YDR254W
P52919	NBP1	YLR457C
P39940	RSP5	YER125W
Q04408		YDR514C
P12383	PDR1	YGL013C
P09201	FBP1	YLR377C
Q12322	PTH4	YOL114C
Q08045	LCL2	YLR104W
P10663	MRP2	YPR166C
P38682	GLO3	YER122C
P41697	BUD6	YLR319C
P29704	ERG9	YHR190W
Q06267		YLR184W
P36057	SRP102	YKL154W
P05737	RPL7A	YGL076C
P36146	LAS1	YKR063C
P18408	MET16	YPR167C
P40537	ULP2	YIL031W
Q08756		YOR300W
P33303	SFC1	YJR095W
O13553		YLR317W
Q12369	SFI1	YLL003W
P19097	FAS2	YPL231W
Q06630	MHR1	YDR296W
Q3E843		YMR158C-A
P37366	CCL1	YPR025C
Q07904	THI73	YLR004C
Q12044	RCN2	YOR220W
Q06070		YLR407W
Q06132	SGD1	YLR336C
Q08902	AMF1	YOR378W
Q02889	MGR2	YPL098C
P38286	IFA38	YBR159W
Q00416	SEN1	YLR430W
P02994	TEF2	YBR118W
A0A023PZD0		YFR036W-A
P38796	PPE1	YHR075C
Q03180	PIR3	YKL163W
Q03656	SKY1	YMR216C
Q06673	ECM30	YLR436C
P53243		YGR067C
Q03818	ATG16	YMR159C
P18852	STE18	YJR086W
Q12468	RRI1	YDL216C
Q06142	KAP95	YLR347C
Q06169	PEX30	YLR324W
P36029	TPO5	YKL174C
P0C5Q5		YMR307C-A
P35194	UTP20	YBL004W
P43603	LSB3	YFR024C-A
P41911	GPD2	YOL059W
Q06522		YPR147C
P38289	EXO5	YBR163W
P07806	VAS1	YGR094W
Q03529	SCS7	YMR272C
Q12154	GET3	YDL100C
P54007		YLR460C
Q04437	YKU80	YMR106C
P32785	FMT1	YBL013W
P32485	HOG1	YLR113W
Q92316	OST5	YGL226C-A
P53229		YGR045C
Q00955	ACC1	YNR016C
P32476	ERG1	YGR175C
Q07435		YDL068W
A0A023PXF5		YBL112C
Q3E7Y4		YBL112C
P43617		YFR045W
Q12253		YLR046C
A0A023PZB3	FMP49	YER038W-A
P35189	TAF14	YPL129W
P05030	PMA1	YGL008C
P53269		YGR115C
P38326	SWC5	YBR231C
Q12138		YLR125W
P35999	OCT1	YKL134C
P40549	MNT3	YIL014W
P21304	PWP1	YLR196W
P38825	TOM71	YHR117W
P40037	HMF1	YER057C
Q12147		YDL026W
P23639	PRE8	YML092C
P34077	NIC96	YFR002W
Q02209		YKR011C
P36106	BYE1	YKL005C
P53867	ATG4	YNL223W
Q3E787		YCR095W-A
Q06537	MAY24	YPR153W
P38818	CTM1	YHR109W
P24868	CLB1	YGR108W
Q6Q546	HUB1	YNR032C-A
Q07551		YDL124W
P53913	FYV6	YNL133C
Q3E747		YLR363W-A
Q06211	MMS1	YPR164W
P34228	SEF1	YBL066C
P30822	CRM1	YGR218W
Q12505	SKS1	YPL026C
P36088		YKL069W
Q01846	MDM1	YML104C
Q04964	SML1	YML058W
P43635	CIT3	YPR001W
P42938	TDA10	YGR205W
P38124	FLR1	YBR008C
P43580		YFL012W
P40462	TMA108	YIL137C
P05066	PHR1	YOR386W
P32316	ACH1	YBL015W
P38890	SET5	YHR207C
P0CE86	PAU22	YPL282C
P0CE87	PAU22	YPL282C
Q9P305	IGO2	YHR132W-A
Q12372	MMP1	YLL061W
P20053	PRP4	YPR178W
P47034	ICS3	YJL077C
P40219	OSW5	YMR148W
P38760	MIP6	YHR015W
P00163	COB	Q0105
Q08179	MDM38	YOL027C
P09932	HO	YDL227C
P38701	RPS20	YHL015W
P32633	MTC7	YEL033W
P14180	CHS2	YBR038W
P38806	YNG2	YHR090C
P36105	RPL14A	YKL006W
Q12277	RRP42	YDL111C
P38208	POP8	YBL018C
Q99176	SRN2	YLR119W
Q12350	JID1	YPR061C
P40581	HYR1	YIR037W
P40969	CEP3	YMR168C
P34231	FAT3	YKL187C
P23248	RPS1B	YML063W
P36074		YKL111C
P40470	RRT14	YIL127C
Q07811		YLL020C
P40010	NUG1	YER006W
P10961	HSF1	YGL073W
P05750	RPS3	YNL178W
P53943	AQR1	YNL065W
Q06679	UTP4	YDR324C
P26370	UGA3	YDL170W
Q06674	HIM1	YDR317W
Q05164	HPF1	YOL155C
P33329	PPZ2	YDR436W
P10507	MAS1	YLR163C
P32570	SRB6	YBR253W
Q08921	TCO89	YPL180W
P38876	PTH1	YHR189W
Q00578	SSL2	YIL143C
P38994	MSS4	YDR208W
Q08916		YPL142C
P40507	AIR1	YIL079C
P69771	DID2	YKR035W-A
Q12431	EMC6	YLL014W
P37299	QCR10	YHR001W-A
A0A023PYH0		YHR070C-A
P0C5L1		YBL068W-A
P07149	FAS1	YKL182W
P38817	GGA2	YHR108W
Q02725	VTC3	YPL019C
Q04149	MUS81	YDR386W
P43565	RIM15	YFL033C
P10363	PRI1	YIR008C
P38704	STP2	YHR006W
P39105	PLB1	YMR008C
P38237	UBP14	YBR058C
Q04398	SPG3	YDR504C
P06182	CYC3	YAL039C
P46957	POL31	YJR006W
A0A023PZL7		YMR294W-A
P32377	MVD1	YNR043W
Q9ZZW3		Q0143
P40532	APQ12	YIL040W
Q12220	DIP2	YLR129W
P43574	GAT1	YFL021W
P07264	LEU1	YGL009C
P40468	TAO3	YIL129C
P38932	VPS45	YGL095C
Q03884		YIL100C-A
P47122	NPA3	YJR072C
P32904	MRPL6	YHR147C
P07262	GDH1	YOR375C
Q08975	THI21	YPL258C
P41811	SEC27	YGL137W
P53973	HDA1	YNL021W
Q12289	CRC1	YOR100C
P53087		YGL214W
P34247	UTP11	YKL099C
Q06247		YLR173W
P06777	RAD1	YPL022W
Q08176	MIM1	YOL026C
P40471	AYR1	YIL124W
P53919	NAF1	YNL124W
P47022		YJL118W
Q12692	HTZ1	YOL012C
Q08991	FEX2	YPL279C
P39102	XDJ1	YLR090W
Q03218	MMT1	YMR177W
P41806	VMA21	YGR105W
P26754	RFA2	YNL312W
P38042	CDC27	YBL084C
P32908	SMC1	YFL008W
P32797	CDC13	YDL220C
P53908		YNL143C
O13522		YDR396W
P26449	BUB3	YOR026W
P40530	PKP1	YIL042C
P53200	EFM5	YGR001C
Q03654	CEF1	YMR213W
Q04322	GYL1	YMR192W
P53085		YGL217C
P39550		YAR030C
P33416	HSP78	YDR258C
P39557		YAR047C
P31381	FUN26	YAL022C
P38320		YBR224W
Q08831	VTS1	YOR359W
P32494	NGG1	YDR176W
Q12191	BUG1	YDL099W
Q06408	ARO10	YDR380W
Q12513	TMA17	YDL110C
Q08685	CLP1	YOR250C
P43576		YFL019C
P03876	AI2	Q0055
P19262	KGD2	YDR148C
P39937	PAC2	YER007W
P38247	SLM4	YBR077C
Q08109	HRD1	YOL013C
O13520		YPL044C
Q12009	TRM8	YDL201W
P40990	MSS2	YDL107W
P53617	NRD1	YNL251C
Q12024	YTM1	YOR272W
Q3E7A2		YER078W-A
Q06592	HPA2	YPR193C
P46984	GON7	YJL184W
P22147	XRN1	YGL173C
Q8TGM4		YLR286W-A
Q6B0R7		YMR326C
Q12341	HAT1	YPL001W
P40957	MAD1	YGL086W
Q06820	MDM36	YPR083W
P50079	HSV2	YGR223C
Q04347	BUD22	YMR014W
P50264	FMS1	YMR020W
Q12034	SLF1	YDR515W
P33767	WBP1	YEL002C
P34237	COY1	YKL179C
P31376	SWC3	YAL011W
P07277	ERG12	YMR208W
P0CX42	RPL23A	YBL087C
P0CX41	RPL23A	YBL087C
P48561	TRF5	YNL299W
Q06594		YPR195C
Q03904		YDR133C
P47165	XPT1	YJR133W
P25605	ILV6	YCL009C
P19882	HSP60	YLR259C
Q3E7A5		YOL164W-A
P53248	PEX8	YGR077C
P35193	ATG19	YOL082W
P53175		YGL052W
P38257	MMS4	YBR098W
Q05812	MSC3	YLR219W
Q06406	LSM6	YDR378C
P0C5N8		YHR180W-A
Q06053	DUS3	YLR401C
P32527	ZUO1	YGR285C
P32467	HXT4	YHR092C
P11747	TAF13	YML098W
P43589	SAD1	YFR005C
P32841	REC114	YMR133W
P53604	MSO1	YNR049C
Q12198		YLL058W
P51534	SHE4	YOR035C
P34760	TSA1	YML028W
P53893	RIA1	YNL163C
P33300	SUR1	YPL057C
P38800	LAM4	YHR080C
P39981	AVT2	YEL064C
Q03338	PRP3	YDR473C
Q06251		YLR177W
P47096	BNA1	YJR025C
P53157	MPC1	YGL080W
P21623	DIT1	YDR403W
P32558	SPT16	YGL207W
P46682	APL6	YGR261C
P38140	ERT1	YBR239C
Q03264	NGL2	YMR285C
P04803	MSW1	YDR268W
P22202	SSA4	YER103W
Q04210	YET2	YMR040W
P38292	PEX32	YBR168W
P38726		YHL045W
Q08962	NIP7	YPL211W
P35203	CTF13	YMR094W
Q04195	SIZ1	YDR409W
P49095	GCV2	YMR189W
P40477	NUP159	YIL115C
P38193	PSY4	YBL046W
P18900	COQ1	YBR003W
P22517	CMK2	YOL016C
P07250	ARG82	YDR173C
P0CX09	MAN2	YNR073C
P0CX08	MAN2	YNR073C
A0A023PYD7		YDR187C
Q01448	HPC2	YBR215W
Q12118	SGT2	YOR007C
Q12261		YOR325W
P17121	SAC7	YDR389W
P36090	ANR2	YKL047W
P89886	TMA20	YER007C-A
O13578		YLR415C
P53917	FAR11	YNL127W
P38763		YHR022C
P50083		YGR226C
P36012	CSE4	YKL049C
Q03104	MSC1	YML128C
P87267		YDR417C
P53120		YGL140C
Q03774	TRM82	YDR165W
P49435	APT1	YML022W
P36033	FRE2	YKL220C
P34234	LOT5	YKL183W
P0CX22	YRF1-5	YLR467W
P0CX21	YRF1-5	YLR467W
P0CX20	YRF1-5	YLR467W
Q07528	ATG20	YDL113C
O13544		YLR302C
P20447	DBP3	YGL078C
P53092		YGL199C
P38204	RRN10	YBL025W
Q04949	DYN3	YMR299C
P53291		YGR164W
P48237	CCM1	YGR150C
P87268		YDR426C
P87273		YDR521W
P32895	PRS1	YKL181W
Q03079	MRX11	YPL041C
P35179	SSS1	YDR086C
P38263	VID24	YBR105C
P47091		YJR018W
Q01389	BCK1	YJL095W
P36076	CAB3	YKL088W
Q12008	GPM2	YDL021W
P07284	SES1	YDR023W
P33400	RIM101	YHL027W
Q8TGQ8		YOL085W-A
P29366	BEM1	YBR200W
P25615	POL4	YCR014C
P53394		YPR003C
P49166	RPL37A	YLR185W
Q08923	CTI6	YPL181W
Q08321		YOL160W
P87275	AIM11	YER093C-A
Q3E802		YGL006W-A
P53550	DCP2	YNL118C
P25370	GFD2	YCL036W
P46949	FYV8	YGR196C
P15624	FRS1	YLR060W
P47175	HMS2	YJR147W
P33298	RPT3	YDR394W
P25631		YCR051W
P38703	LAG1	YHL003C
P06103	PRT1	YOR361C
Q06213	NUT2	YPR168W
P69851	DAD4	YDR320C-A
P38303		YBR190W
P33734	HIS7	YBR248C
P38793	TRM5	YHR070W
Q3E7Z7		YDR003W-A
Q08927		YPL185W
P48526	ISM1	YPL040C
P38848	PEX28	YHR150W
P53094	MDS3	YGL197W
Q08299	ENB1	YOL158C
P47053		YJL043W
P40075	SCS2	YER120W
Q05021	TAF7	YMR227C
P38113	ADH5	YBR145W
P54074	ASI1	YMR119W
P53281	LSB1	YGR136W
P15625	FRS2	YFL022C
Q04004	PLP1	YDR183W
P40021	ZRG8	YER033C
Q02821	SRP1	YNL189W
P34216	EDE1	YBL047C
P12866	STE6	YKL209C
Q04839	GFD1	YMR255W
Q12507	SFG1	YOR315W
P50108	MNN10	YDR245W
P42947		YJL107C
P38629	RFC3	YNL290W
P36115	IRS4	YKR019C
P48238		YGR153W
P53110		YGL159W
P32451	BIO2	YGR286C
P47075	VTC4	YJL012C
P34111	TFC3	YAL001C
P53726		YNR025C
P38258		YBR099C
P32786	RRN6	YBL014C
P12753	RAD50	YNL250W
Q04069		YDR431W
P21705	DAL82	YNL314W
P53863	JJJ1	YNL227C
P40036	GIP2	YER054C
P38239		YBR062C
Q12175	MSH5	YDL154W
P0CX87	RPL41A	YDL184C
P0CX86	RPL41A	YDL184C
P33890	TIR2	YOR010C
Q03769	ENT5	YDR153C
P36516	MRPL3	YMR024W
P40151	MGS1	YNL218W
Q02866	MUK1	YPL070W
P38061	RPL32	YBL092W
P32805	FZF1	YGL254W
	SPH1	YLR313C
P38837	NSG1	YHR133C
P32486	KRE6	YPR159W
P00175	CYB2	YML054C
Q04893		YMR317W
P39717	GPB2	YAL056W
Q08908	FRE5	YOR384W
Q12483	SNF8	YPL002C
P06106	MET17	YLR303W
P38922	HRB1	YNL004W
P15790	CKA1	YIL035C
P53214	MTL1	YGR023W
P53628	SNF12	YNR023W
P53934		YNL092W
P0C5P9		YLR154W-B
A2P2R3		YMR084W
P53167	PUS2	YGL063W
Q03530	RCE1	YMR274C
Q03937	HED1	YDR014W-A
Q07825	FRA1	YLL029W
P00830	ATP2	YJR121W
Q04080	GPI17	YDR434W
P38693	PHO12	YHR215W
P50113	LYS5	YGL154C
Q07881		YLL047W
Q3E771		YLR285C-A
Q07895		YLR001C
P27705	MIG1	YGL035C
P40350	ALG5	YPL227C
P41056	RPL33B	YOR234C
P40357	SEC9	YGR009C
Q12040		YOR283W
P53825		YNL324W
P38141	THI2	YBR240C
P53221	RPL26B	YGR034W
P47008	SFH5	YJL145W
P21957	OPI1	YHL020C
P11986	INO1	YJL153C
		YKR012C
Q03435	NHP10	YDL002C
Q3E824		YOR020W-A
P04911	HTA1	YDR225W
P32657	CHD1	YER164W
P38813	BIG1	YHR101C
P05150	ARG3	YJL088W
Q03655	GAS3	YMR215W
P0CX54	RPL12B	YDR418W
P0CX53	RPL12B	YDR418W
Q08217	PSK2	YOL045W
P25574	EMC1	YCL045C
Q02754		YPL067C
P38710	INM1	YHR046C
P0CE89	PAU14	YIL176C
P0CE88	PAU14	YIL176C
P33759	MRPS5	YBR251W
Q08503		YOR102W
P53858	BNI4	YNL233W
P38808		YHR095W
Q12003	ENV7	YPL236C
Q12417	PRP46	YPL151C
P53166	MRH4	YGL064C
Q03254	FCP1	YMR277W
P40413	CCT5	YJR064W
Q12222	YGK3	YOL128C
P25587	LDB16	YCL005W
P32842	VMA11	YPL234C
P53899	CUZ1	YNL155W
P06776	PDE2	YOR360C
P02293	HTB1	YDR224C
O13558	BSC3	YLR465C
P40084	RTR1	YER139C
P47011	GLG2	YJL137C
P43132	BRE2	YLR015W
Q05123	ARP9	YMR033W
Q12109	WRS1	YOL097C
P38870		YHR182W
P40556	YIA6	YIL006W
P19358	SAM2	YDR502C
P14127	RPS17B	YDR447C
Q12459	PRM7	YDL039C
P47037	SMC3	YJL074C
Q12125	GET4	YOR164C
P05986	TPK3	YKL166C
P32621	GDA1	YEL042W
Q12744		YML094C-A
P0CX30	RPS23A	YGR118W
P0CX29	RPS23A	YGR118W
Q07657	SHS1	YDL225W
P53974	ARK1	YNL020C
P53686	HST2	YPL015C
